Index,Pitch,PWM
0,53.14,0
1,53.15,0
2,53.15,0
3,53.15,0
4,53.15,0
5,53.15,0
6,53.15,0
7,53.15,0
8,53.15,0
9,53.15,0
10,53.15,0
11,53.15,0
12,53.15,0
13,53.15,0
14,53.15,0
15,53.15,0
16,53.15,0
17,53.15,0
18,53.15,0
19,53.14,0
20,53.14,0
21,53.14,0
22,53.15,0
23,53.15,0
24,53.15,0
25,53.15,0
26,53.15,0
27,53.15,0
28,53.15,0
29,53.15,0
30,53.15,0
31,53.15,0
32,53.15,0
33,53.15,0
34,53.14,0
35,53.15,0
36,53.15,3
37,53.15,3
38,53.15,4
39,53.15,4
40,53.15,4
41,53.16,4
42,53.16,4
43,53.16,4
44,53.15,5
45,53.15,5
46,53.15,5
47,53.15,5
48,53.15,5
49,53.15,6
50,53.15,6
51,53.15,6
52,53.15,6
53,53.15,6
54,53.15,6
55,53.15,7
56,53.15,7
57,53.15,7
58,53.15,7
59,53.15,7
60,53.15,7
61,53.15,8
62,53.15,8
63,53.15,8
64,53.16,8
65,53.16,8
66,53.15,8
67,53.15,9
68,53.15,9
69,53.15,9
70,53.15,9
71,53.15,9
72,53.15,9
73,53.15,10
74,53.15,10
75,53.15,10
76,53.15,10
77,53.15,10
78,53.15,11
79,53.15,11
80,53.14,11
81,53.14,11
82,53.14,11
83,53.14,11
84,53.14,12
85,53.14,12
86,53.14,12
87,53.14,12
88,53.14,12
89,53.13,12
90,53.13,13
91,53.13,13
92,53.13,13
93,53.13,13
94,53.13,13
95,53.13,13
96,53.13,14
97,53.13,14
98,53.13,14
99,53.13,14
100,53.12,14
101,53.12,14
102,53.12,15
103,53.11,15
104,53.11,15
105,53.11,15
106,53.11,15
107,53.11,16
108,53.11,16
109,53.12,16
110,53.11,16
111,53.11,16
112,53.11,16
113,53.11,17
114,53.11,17
115,53.10,17
116,53.10,17
117,53.09,17
118,53.09,17
119,53.10,18
120,53.10,18
121,53.10,18
122,53.09,18
123,53.08,18
124,53.09,18
125,53.09,19
126,53.08,19
127,53.08,19
128,53.07,19
129,53.07,19
130,53.08,19
131,53.08,20
132,53.07,20
133,53.07,20
134,53.06,20
135,53.06,20
136,53.06,21
137,53.06,21
138,53.06,21
139,53.06,21
140,53.06,21
141,53.05,21
142,53.05,22
143,53.05,22
144,53.04,22
145,53.04,22
146,53.03,22
147,53.03,22
148,53.04,23
149,53.03,23
150,53.04,23
151,53.03,23
152,53.03,23
153,53.03,23
154,53.03,24
155,53.02,24
156,53.02,24
157,53.02,24
158,53.02,24
159,53.01,24
160,53.02,25
161,53.01,25
162,53.02,25
163,53.01,25
164,53.02,25
165,53.01,26
166,53.01,26
167,53.01,26
168,53.00,26
169,53.00,26
170,53.00,26
171,53.00,27
172,52.99,27
173,53.00,27
174,52.99,27
175,52.99,27
176,52.99,27
177,52.98,28
178,52.98,28
179,52.99,28
180,52.98,28
181,52.97,28
182,52.98,28
183,52.99,29
184,52.97,29
185,52.96,29
186,52.96,29
187,52.97,29
188,52.97,29
189,52.95,30
190,52.94,30
191,52.95,30
192,52.96,30
193,52.97,30
194,52.95,31
195,52.94,31
196,52.92,31
197,52.92,31
198,52.94,31
199,52.95,31
200,52.96,32
201,52.95,32
202,52.93,32
203,52.91,32
204,52.89,32
205,52.87,32
206,52.87,33
207,52.87,33
208,52.89,33
209,52.91,33
210,52.92,33
211,52.95,33
212,52.97,34
213,52.98,34
214,52.98,34
215,52.98,34
216,52.98,34
217,52.98,34
218,52.98,35
219,52.97,35
220,52.97,35
221,52.97,35
222,52.98,35
223,52.99,35
224,53.00,36
225,53.02,36
226,53.05,36
227,53.08,36
228,53.12,36
229,53.16,37
230,53.18,37
231,53.20,37
232,53.20,37
233,53.16,37
234,53.11,37
235,53.05,38
236,53.00,38
237,52.97,38
238,52.98,38
239,53.03,38
240,53.09,38
241,53.14,39
242,53.13,39
243,53.05,39
244,52.96,39
245,52.91,39
246,52.93,39
247,53.02,40
248,53.10,40
249,53.09,40
250,52.98,40
251,52.88,40
252,52.88,40
253,52.99,41
254,53.07,41
255,53.02,41
256,52.89,41
257,52.85,41
258,52.92,42
259,53.00,42
260,52.96,42
261,52.86,42
262,52.85,42
263,52.93,42
264,52.93,43
265,52.86,43
266,52.84,43
267,52.90,43
268,52.89,43
269,52.83,43
270,52.83,44
271,52.88,44
272,52.85,44
273,52.80,44
274,52.84,44
275,52.85,44
276,52.80,45
277,52.81,45
278,52.83,45
279,52.78,45
280,52.78,45
281,52.81,45
282,52.77,46
283,52.77,46
284,52.79,46
285,52.74,46
286,52.75,46
287,52.76,47
288,52.72,47
289,52.73,47
290,52.73,47
291,52.70,47
292,52.72,47
293,52.69,48
294,52.68,48
295,52.70,48
296,52.65,48
297,52.68,48
298,52.65,48
299,52.65,49
300,52.66,49
301,52.62,49
302,52.65,49
303,52.61,49
304,52.63,49
305,52.61,50
306,52.60,50
307,52.60,50
308,52.57,50
309,52.59,50
310,52.55,50
311,52.58,51
312,52.54,51
313,52.56,51
314,52.52,51
315,52.53,51
316,52.51,51
317,52.51,52
318,52.50,52
319,52.50,52
320,52.48,52
321,52.48,52
322,52.46,53
323,52.46,53
324,52.44,53
325,52.44,53
326,52.41,53
327,52.41,53
328,52.38,54
329,52.38,54
330,52.34,54
331,52.35,54
332,52.30,54
333,52.31,54
334,52.28,55
335,52.27,55
336,52.26,55
337,52.23,55
338,52.23,55
339,52.18,55
340,52.18,56
341,52.15,56
342,52.13,56
343,52.11,56
344,52.07,56
345,52.06,56
346,52.02,57
347,52.00,57
348,51.97,57
349,51.92,57
350,51.90,57
351,51.85,57
352,51.81,58
353,51.78,58
354,51.72,58
355,51.68,58
356,51.64,58
357,51.56,58
358,51.52,59
359,51.46,59
360,51.39,59
361,51.35,59
362,51.28,59
363,51.20,59
364,51.15,60
365,51.06,60
366,50.98,60
367,50.92,60
368,50.84,60
369,50.75,60
370,50.68,61
371,50.59,61
372,50.49,61
373,50.42,61
374,50.34,61
375,50.24,62
376,50.14,62
377,50.06,62
378,49.96,62
379,49.85,62
380,49.76,62
381,49.67,62
382,49.58,63
383,49.48,63
384,49.41,63
385,49.35,63
386,49.27,63
387,49.20,63
388,49.16,64
389,49.11,64
390,49.06,64
391,49.03,64
392,49.00,64
393,48.99,64
394,48.97,65
395,48.94,65
396,48.94,65
397,48.95,65
398,48.96,65
399,48.95,65
400,48.95,66
401,48.96,66
402,48.99,66
403,49.00,66
404,49.01,66
405,49.01,66
406,49.03,67
407,49.05,67
408,49.06,67
409,49.07,67
410,49.06,67
411,49.06,67
412,49.06,68
413,49.06,68
414,49.04,68
415,49.03,68
416,49.00,68
417,48.98,68
418,48.95,69
419,48.91,69
420,48.89,69
421,48.85,69
422,48.81,69
423,48.76,69
424,48.71,70
425,48.67,70
426,48.63,70
427,48.58,70
428,48.54,70
429,48.48,70
430,48.43,71
431,48.37,71
432,48.31,71
433,48.26,71
434,48.21,71
435,48.16,71
436,48.12,72
437,48.07,72
438,48.03,72
439,47.99,72
440,47.96,72
441,47.92,72
442,47.89,72
443,47.87,73
444,47.85,73
445,47.84,73
446,47.83,73
447,47.83,73
448,47.82,73
449,47.83,74
450,47.82,74
451,47.83,74
452,47.83,74
453,47.83,74
454,47.84,74
455,47.84,75
456,47.84,75
457,47.84,75
458,47.84,75
459,47.84,75
460,47.83,75
461,47.83,76
462,47.81,76
463,47.80,76
464,47.78,76
465,47.77,76
466,47.75,76
467,47.73,77
468,47.71,77
469,47.69,77
470,47.67,77
471,47.64,77
472,47.62,77
473,47.60,78
474,47.57,78
475,47.54,78
476,47.51,78
477,47.48,78
478,47.44,78
479,47.40,78
480,47.36,79
481,47.32,79
482,47.27,79
483,47.22,79
484,47.18,79
485,47.12,79
486,47.07,80
487,47.02,80
488,46.95,80
489,46.88,80
490,46.81,80
491,46.74,80
492,46.66,81
493,46.57,81
494,46.49,81
495,46.41,81
496,46.33,81
497,46.24,81
498,46.15,82
499,46.07,82
500,45.98,82
501,45.89,82
502,45.80,82
503,45.71,82
504,45.61,82
505,45.52,83
506,45.42,83
507,45.33,83
508,45.24,83
509,45.15,83
510,45.06,83
511,44.97,84
512,44.87,84
513,44.77,84
514,44.67,84
515,44.57,84
516,44.48,84
517,44.38,84
518,44.28,85
519,44.18,85
520,44.08,85
521,43.97,85
522,43.86,85
523,43.75,85
524,43.65,86
525,43.54,86
526,43.44,86
527,43.33,86
528,43.22,86
529,43.10,86
530,43.00,86
531,42.89,87
532,42.79,87
533,42.68,87
534,42.57,87
535,42.46,87
536,42.35,87
537,42.25,88
538,42.16,88
539,42.06,88
540,41.96,88
541,41.85,88
542,41.76,88
543,41.68,88
544,41.60,89
545,41.52,89
546,41.44,89
547,41.38,89
548,41.32,89
549,41.26,89
550,41.20,89
551,41.14,90
552,41.09,90
553,41.04,90
554,41.01,90
555,40.97,90
556,40.92,90
557,40.89,91
558,40.86,91
559,40.82,91
560,40.79,91
561,40.76,91
562,40.73,91
563,40.71,91
564,40.68,92
565,40.64,92
566,40.62,92
567,40.60,92
568,40.57,92
569,40.53,92
570,40.51,92
571,40.49,93
572,40.45,93
573,40.42,93
574,40.39,93
575,40.36,93
576,40.32,93
577,40.28,93
578,40.25,94
579,40.21,94
580,40.17,94
581,40.11,94
582,40.08,94
583,40.03,94
584,39.97,94
585,39.93,95
586,39.88,95
587,39.81,95
588,39.76,95
589,39.71,95
590,39.63,95
591,39.56,96
592,39.50,96
593,39.44,96
594,39.35,96
595,39.28,96
596,39.21,96
597,39.12,96
598,39.04,97
599,38.96,97
600,38.87,97
601,38.76,97
602,38.68,97
603,38.58,97
604,38.48,97
605,38.38,98
606,38.28,98
607,38.16,98
608,38.06,98
609,37.95,98
610,37.81,98
611,37.71,98
612,37.58,99
613,37.45,99
614,37.33,99
615,37.19,99
616,37.06,99
617,36.93,99
618,36.78,99
619,36.64,100
620,36.50,100
621,36.34,100
622,36.18,100
623,36.03,100
624,35.85,100
625,35.69,100
626,35.52,100
627,35.34,101
628,35.17,101
629,34.98,101
630,34.81,101
631,34.64,101
632,34.44,101
633,34.27,101
634,34.09,102
635,33.89,102
636,33.72,102
637,33.52,102
638,33.33,102
639,33.15,102
640,32.95,102
641,32.78,102
642,32.59,103
643,32.40,103
644,32.22,103
645,32.03,103
